k,silhouette,davies_bouldin,kmeans_vs_hier_ari,gmm_bic,gmm_aic
2,0.4764132159165043,0.9988725702415889,,-999075.7560525106,-1000506.2872995196
3,0.535347236483551,1.1957764279753393,0.8106781732078171,-1088827.367336681,-1090977.115950971
4,0.567043233558729,1.0910070302878974,0.7660779952754464,-1210763.7409241432,-1213632.7069057138
5,0.5867851193477411,0.9902069268466169,,-1321646.5832830113,-1325234.7666318628
6,0.6045821008500134,0.9450955361540666,,-1375693.136267096,-1380000.5369832283
