window_s,metric,value
5,n_windows,2956540.0
5,frac_standing,0.5049023520737078
5,frac_accelerating,0.135397796072436
5,frac_cruising,0.1570007508777151
5,frac_deceleration,0.202699100976141
5,dwell_mean_standing,58.35349120845614
5,dwell_std_standing,645.2759324504519
5,dwell_mean_accelerating,14.538610164813214
5,dwell_std_accelerating,5.0415521315107314
5,dwell_mean_cruising,15.724966631208796
5,dwell_std_cruising,9.962930156606143
5,dwell_mean_deceleration,20.84045068855196
5,dwell_std_deceleration,8.564563082157873
5,persist_standing,0.914608191727323
5,persist_accelerating,0.6561488188032139
5,persist_cruising,0.6821121850531967
5,persist_deceleration,0.760147921686948
5,chatter_rate,0.1882090854962245
10,n_windows,1490497.0
10,frac_standing,0.4811891603941504
10,frac_accelerating,0.1434467831870845
10,frac_cruising,0.1727417096445011
10,frac_deceleration,0.2026223467742638
10,dwell_mean_standing,54.23350599266513
10,dwell_std_standing,640.9814637296743
10,dwell_mean_accelerating,17.118117549098887
10,dwell_std_accelerating,5.042149334392348
10,dwell_mean_cruising,20.840260633777167
10,dwell_std_cruising,10.611626750184808
10,dwell_mean_deceleration,23.76986344496478
10,dwell_std_deceleration,7.157587422913319
10,persist_standing,0.8161458376933401
10,persist_accelerating,0.4158955887168452
10,persist_cruising,0.5202868597712581
10,persist_deceleration,0.5793970664697291
10,chatter_rate,0.3403811187097995
15,n_windows,998293.0
15,frac_standing,0.4474477933833053
15,frac_accelerating,0.1607353752856125
15,frac_cruising,0.1949297450748427
15,frac_deceleration,0.1968870862562394
15,dwell_mean_standing,66.78954136305187
15,dwell_std_standing,740.1068127884499
15,dwell_mean_accelerating,20.0342517063426
15,dwell_std_accelerating,7.335362298574234
15,dwell_mean_cruising,25.29664872734836
15,dwell_std_cruising,11.06443424454502
15,dwell_mean_deceleration,24.55291560485684
15,dwell_std_deceleration,7.655178497208173
15,persist_standing,0.7762272083475268
15,persist_accelerating,0.2513495991721627
15,persist_cruising,0.4071511550205097
15,persist_deceleration,0.3891815142215912
15,chatter_rate,0.456367968262146
20,n_windows,748848.0
20,frac_standing,0.409326058158665
20,frac_accelerating,0.1801580561075144
20,frac_cruising,0.203513930730936
20,frac_deceleration,0.2070019550028844
20,dwell_mean_standing,98.22408793039912
20,dwell_std_standing,938.3100299631571
20,dwell_mean_accelerating,22.938976076717733
20,dwell_std_accelerating,7.136617922307488
20,dwell_mean_cruising,28.089761312321446
20,dwell_std_cruising,11.749224242019787
20,dwell_mean_deceleration,26.354911378416286
20,dwell_std_deceleration,9.40722402547498
20,persist_standing,0.797554831690479
20,persist_accelerating,0.1281680532692678
20,persist_cruising,0.2881064440112115
20,persist_deceleration,0.2412262020006453
20,chatter_rate,0.5420326424565775
