target,alpha,n_selected,n_features,held_out_r2
peak_deceleration,4.470596130659285e-06,19,22,0.17148726070290554
mean_deceleration,3.351748612125595e-06,20,22,0.1613023794546219
deceleration_energy_specific,0.00010191156348721027,18,22,0.7125173920624277
