k,gmm_bic,gmm_aic,kmeans_silhouette,davies_bouldin,bootstrap_ari,min_cluster_frac
1,1245019.026278938,1244882.539379973,,,,
2,1194674.2144659213,1194391.4916037796,0.38242293505186903,1.0043725229962748,,0.39220594622339794
3,1124698.4464637213,1124269.487638403,0.3360417520192083,1.115251780569437,,0.18445927271291507
4,1043384.0010728851,1042808.8062843902,0.3381099835164538,0.9087925162673813,,3.158684407944091e-05
5,1004369.7711798953,1003648.3404282236,0.30975462935440906,1.0193556710668976,,3.158684407944091e-05
6,990551.9817125074,989684.3149976591,0.28431477272432315,1.1298337293276532,,3.158684407944091e-05
