variable,value,n,median_velocity,median_brake_pressure
TRAIN_CURRENT_SECTION,99.0,1194,0.38711071014404297,0.0038197834510356188
TRAIN_CURRENT_SECTION,100.0,1395,0.26839256286621094,0.0038299560546875
TRAIN_CURRENT_SECTION,101.0,1169,0.1746082305908203,0.0093841552734375
TRAIN_CURRENT_SECTION,102.0,1103,0.3433799743652344,0.0037892658729106188
TRAIN_CURRENT_SECTION,103.0,1161,0.2568626403808594,0.0038248698692768812
TRAIN_CURRENT_SECTION,104.0,1244,0.3461265563964844,0.0037892658729106188
TRAIN_CURRENT_SECTION,105.0,1324,0.43684959411621094,0.0037892658729106188
TRAIN_CURRENT_SECTION,106.0,1081,0.21111488342285156,0.0046742758713662624
TRAIN_CURRENT_SECTION,107.0,1130,0.3110504150390625,0.00385284423828125
TRAIN_CURRENT_SECTION,108.0,1236,0.42058467864990234,0.0037943522911518812
TRAIN_CURRENT_SECTION,109.0,1255,0.27319908142089844,0.003814697265625
TRAIN_CURRENT_SECTION,110.0,1236,0.36864280700683594,0.0037892658729106188
TRAIN_CURRENT_SECTION,111.0,1124,0.29535770416259766,0.0037892658729106188
TRAIN_CURRENT_SECTION,112.0,1318,0.25031089782714844,0.0037943522911518812
TRAIN_CURRENT_SECTION,113.0,2662,0.0,0.2664947509765625
TRAIN_CURRENT_SECTION,114.0,2418,0.0,0.5065714716911316
TRAIN_CURRENT_SECTION,115.0,3342,0.0,0.266357421875
TRAIN_CURRENT_SECTION,116.0,1090,0.25691986083984375,0.0038248698692768812
TRAIN_CURRENT_SECTION,117.0,1148,0.3673267364501953,0.0037841796875
TRAIN_CURRENT_SECTION,118.0,1113,0.3627204895019531,0.0037892658729106188
TRAIN_CURRENT_SECTION,119.0,1227,0.4266643524169922,0.0037892658729106188
TRAIN_CURRENT_SECTION,120.0,1278,0.20067214965820312,0.0038960773963481188
TRAIN_CURRENT_SECTION,121.0,1058,0.21803855895996094,0.004015604965388775
TRAIN_CURRENT_SECTION,122.0,1803,0.32558441162109375,0.0037587482947856188
TRAIN_CURRENT_SECTION,123.0,1301,0.29537200927734375,0.0037943522911518812
TRAIN_CURRENT_SECTION,124.0,1033,0.25145530700683594,0.0037994384765625
TRAIN_CURRENT_SECTION,125.0,1220,0.24225711822509766,0.0066630044020712376
TRAIN_CURRENT_SECTION,126.0,953,0.2371501922607422,0.0038299560546875
TRAIN_CURRENT_SECTION,127.0,1353,0.2664756774902344,0.0038248698692768812
TRAIN_CURRENT_SECTION,128.0,1195,0.396881103515625,0.0038197834510356188
TRAIN_CURRENT_SECTION,129.0,1184,0.3394460678100586,0.0037968955002725124
TRAIN_CURRENT_SECTION,130.0,1184,0.3277158737182617,0.0038299560546875
TRAIN_CURRENT_SECTION,131.0,1853,0.11598587036132812,0.0038248698692768812
TRAIN_CURRENT_SECTION,132.0,4132,0.0,0.266357421875
TRAIN_CURRENT_SECTION,133.0,1158,0.4449176788330078,0.0037892658729106188
TRAIN_CURRENT_SECTION,134.0,1459,0.2364349365234375,0.0037943522911518812
TRAIN_CURRENT_SECTION,135.0,3142,0.0,0.5066019892692566
TRAIN_CURRENT_SECTION,136.0,1480,0.0,0.26639050245285034
TRAIN_CURRENT_SECTION,137.0,11143,0.0,0.2662099301815033
TRAIN_CURRENT_SECTION,138.0,3045,0.3293609619140625,0.0046895346604287624
TRAIN_CURRENT_SECTION,139.0,2755,0.3961372375488281,0.00482177734375
TRAIN_CURRENT_SECTION,140.0,2741,0.4048633575439453,0.012532551772892475
TRAIN_CURRENT_SECTION,141.0,3846,0.46684741973876953,0.0047149658203125
TRAIN_CURRENT_SECTION,142.0,2789,0.41839599609375,0.0047149658203125
TRAIN_CURRENT_SECTION,143.0,2957,0.34275054931640625,0.0048116049729287624
TRAIN_CURRENT_SECTION,144.0,3458,0.35971641540527344,0.0047861733473837376
TRAIN_CURRENT_SECTION,145.0,3460,0.5035829544067383,0.0046488442458212376
TRAIN_CURRENT_SECTION,146.0,3109,0.3767108917236328,0.0047556557692587376
TRAIN_CURRENT_SECTION,147.0,3986,0.498504638671875,0.0046539306640625
TRAIN_CURRENT_SECTION,148.0,3930,0.49791812896728516,0.0046793618239462376
TRAIN_CURRENT_SECTION,149.0,3055,0.3474140167236328,0.0047505698166787624
TRAIN_CURRENT_SECTION,150.0,3976,0.37628173828125,0.0046539306640625
TRAIN_CURRENT_SECTION,151.0,3981,0.1885986328125,0.0048573813401162624
TRAIN_CURRENT_SECTION,152.0,2610,0.3700733184814453,0.0047149658203125
TRAIN_CURRENT_SECTION,153.0,4837,0.4307842254638672,0.0040384926833212376
TRAIN_CURRENT_SECTION,154.0,5217,0.4659461975097656,0.0043792724609375
TRAIN_CURRENT_SECTION,155.0,18855,0.0,0.0047963461838662624
TRAIN_CURRENT_SECTION,156.0,13089,0.0,0.2661895751953125
TRAIN_CURRENT_SECTION,157.0,3679,0.0,0.2672373354434967
TRAIN_CURRENT_SECTION,158.0,10709,0.0,0.2662862241268158
TRAIN_CURRENT_SECTION,159.0,32936,0.0,0.07096099853515625
TRAIN_CURRENT_SECTION,160.0,5752,0.3227376937866211,0.0046666464768350124
TRAIN_CURRENT_SECTION,161.0,4399,0.39150238037109375,0.004058837890625
TRAIN_CURRENT_SECTION,162.0,7128,0.1105499267578125,0.1439056396484375
TRAIN_CURRENT_SECTION,163.0,4712,0.3111076354980469,0.004547119140625
TRAIN_CURRENT_SECTION,164.0,3232,0.3077888488769531,0.00482177734375
TRAIN_CURRENT_SECTION,165.0,3510,0.49973487854003906,0.0045166015625
TRAIN_CURRENT_SECTION,166.0,4417,0.40294647216796875,0.0047556557692587376
TRAIN_CURRENT_SECTION,167.0,3067,0.4631996154785156,0.0046844482421875
TRAIN_CURRENT_SECTION,168.0,3699,0.4950428009033203,0.0046488442458212376
TRAIN_CURRENT_SECTION,169.0,2885,0.4487800598144531,0.0047200522385537624
TRAIN_CURRENT_SECTION,170.0,3187,0.17455101013183594,0.0049285888671875
TRAIN_CURRENT_SECTION,171.0,2847,0.41187286376953125,0.0047505698166787624
TRAIN_CURRENT_SECTION,172.0,3694,0.49332618713378906,0.0045827231369912624
TRAIN_CURRENT_SECTION,173.0,4583,0.0003719329833984375,0.0048573813401162624
TRAIN_CURRENT_SECTION,174.0,2745,0.4266071319580078,0.0048828125
TRAIN_CURRENT_SECTION,175.0,2715,0.4339599609375,0.0046895346604287624
TRAIN_CURRENT_SECTION,176.0,5533,0.31548500061035156,0.0046488442458212376
TRAIN_CURRENT_SECTION,177.0,14767,0.0,0.266754150390625
TRAIN_CURRENT_SECTION,178.0,9972,0.0,0.2671305239200592
TRAIN_IS_SPECIAL_SECTION,0.0,565569,0.2148914337158203,0.0045115151442587376
TRAIN_IS_SPECIAL_SECTION,1.0,143698,0.0,0.2667948305606842
