,standing,accelerating,cruising,braking
standing,0.8161458376933401,0.16376046052833515,0.005580808714990889,0.014512893063333808
accelerating,0.024909949946203862,0.41589558871684523,0.5442438134443561,0.014950647892594844
cruising,0.025228431128791647,0.013771910740924913,0.5202868597712581,0.4407127983590254
braking,0.3969505591855794,0.013137632179416275,0.010514742165275188,0.5793970664697291
