scope,target,tier,with_duration,model,n_features,r2,mae,baseline_r2,baseline_mae
real_decel,peak_deceleration,auxonly,False,lin,10,0.16152169237506908,0.009260635028549085,-1.8829971569767068e-05,0.009645968921624566
real_decel,peak_deceleration,auxonly,False,ridge,10,0.12929874405542285,0.009268381124883566,-1.8829971569767068e-05,0.009645968921624566
real_decel,peak_deceleration,auxonly,False,lasso,10,0.06036251277769211,0.009323922645589573,-1.8829971569767068e-05,0.009645968921624566
real_decel,peak_deceleration,auxonly,False,tree,10,0.2436837966412374,0.008409793417973805,-1.8829971569767068e-05,0.009645968921624566
real_decel,peak_deceleration,auxonly,False,rf,10,0.2890327398293462,0.007899770036322938,-1.8829971569767068e-05,0.009645968921624566
real_decel,peak_deceleration,auxonly,True,lin,11,0.2315637695181212,0.00855902507365482,-1.8829971569767068e-05,0.009645968921624566
real_decel,peak_deceleration,auxonly,True,ridge,11,0.19846036175642756,0.0085676307504167,-1.8829971569767068e-05,0.009645968921624566
real_decel,peak_deceleration,auxonly,True,lasso,11,0.13383382846691338,0.008596490378305824,-1.8829971569767068e-05,0.009645968921624566
real_decel,peak_deceleration,auxonly,True,tree,11,0.30729492957106375,0.007905632649740608,-1.8829971569767068e-05,0.009645968921624566
real_decel,peak_deceleration,auxonly,True,rf,11,0.3523379043561172,0.007290397391804517,-1.8829971569767068e-05,0.009645968921624566
real_decel,peak_deceleration,full,False,lin,22,0.24278554470651825,0.008487727442168474,-1.8829971569767068e-05,0.009645968921624566
real_decel,peak_deceleration,full,False,ridge,22,0.21052484649297554,0.00849054484378307,-1.8829971569767068e-05,0.009645968921624566
real_decel,peak_deceleration,full,False,lasso,22,0.14439115233287658,0.00854092410665344,-1.8829971569767068e-05,0.009645968921624566
real_decel,peak_deceleration,full,False,tree,22,0.4287983665070586,0.0070698646962938485,-1.8829971569767068e-05,0.009645968921624566
real_decel,peak_deceleration,full,False,rf,22,0.43038118508526446,0.006449485471891714,-1.8829971569767068e-05,0.009645968921624566
real_decel,peak_deceleration,full,True,lin,23,0.2431139131556621,0.008480354431742663,-1.8829971569767068e-05,0.009645968921624566
real_decel,peak_deceleration,full,True,ridge,23,0.21072159205262608,0.008483691802512933,-1.8829971569767068e-05,0.009645968921624566
real_decel,peak_deceleration,full,True,lasso,23,0.14390309513691935,0.008535793631090917,-1.8829971569767068e-05,0.009645968921624566
real_decel,peak_deceleration,full,True,tree,23,0.40067690697872305,0.0071634116201056645,-1.8829971569767068e-05,0.009645968921624566
real_decel,peak_deceleration,full,True,rf,23,0.4304741336682273,0.006448669861851622,-1.8829971569767068e-05,0.009645968921624566
real_decel,mean_deceleration,auxonly,False,lin,10,0.09298344153632199,0.004224310607435228,-5.821272648365294e-07,0.004313135364786001
real_decel,mean_deceleration,auxonly,False,ridge,10,0.08604001366883696,0.004235425593597206,-5.821272648365294e-07,0.004313135364786001
real_decel,mean_deceleration,auxonly,False,lasso,10,0.046960726504728045,0.00422099381208716,-5.821272648365294e-07,0.004313135364786001
real_decel,mean_deceleration,auxonly,False,tree,10,0.23419191000743655,0.0037961624121724386,-5.821272648365294e-07,0.004313135364786001
real_decel,mean_deceleration,auxonly,False,rf,10,0.37151341554826145,0.0033508318678029943,-5.821272648365294e-07,0.004313135364786001
real_decel,mean_deceleration,auxonly,True,lin,11,0.12270672977717112,0.004203176046900349,-5.821272648365294e-07,0.004313135364786001
real_decel,mean_deceleration,auxonly,True,ridge,11,0.11534384107388329,0.004211520658264491,-5.821272648365294e-07,0.004313135364786001
real_decel,mean_deceleration,auxonly,True,lasso,11,0.0775886776471233,0.004199191466515422,-5.821272648365294e-07,0.004313135364786001
real_decel,mean_deceleration,auxonly,True,tree,11,0.3334532845137044,0.003567563631579776,-5.821272648365294e-07,0.004313135364786001
real_decel,mean_deceleration,auxonly,True,rf,11,0.44326672971859016,0.003120099241546054,-5.821272648365294e-07,0.004313135364786001
real_decel,mean_deceleration,full,False,lin,22,0.2006143381137201,0.0040031756657513086,-5.821272648365294e-07,0.004313135364786001
real_decel,mean_deceleration,full,False,ridge,22,0.18939086486055212,0.00401900266210697,-5.821272648365294e-07,0.004313135364786001
real_decel,mean_deceleration,full,False,lasso,22,0.11504901740734963,0.004088077047107978,-5.821272648365294e-07,0.004313135364786001
real_decel,mean_deceleration,full,False,tree,22,0.4676418421908536,0.0032022252848621095,-5.821272648365294e-07,0.004313135364786001
real_decel,mean_deceleration,full,False,rf,22,0.5713504001445263,0.00274897965025974,-5.821272648365294e-07,0.004313135364786001
real_decel,mean_deceleration,full,True,lin,23,0.20057855421315085,0.004001457972483593,-5.821272648365294e-07,0.004313135364786001
real_decel,mean_deceleration,full,True,ridge,23,0.1893448759757802,0.004017010691116053,-5.821272648365294e-07,0.004313135364786001
real_decel,mean_deceleration,full,True,lasso,23,0.11504906720005614,0.004088076906899763,-5.821272648365294e-07,0.004313135364786001
real_decel,mean_deceleration,full,True,tree,23,0.45999499441272185,0.0032096113791167916,-5.821272648365294e-07,0.004313135364786001
real_decel,mean_deceleration,full,True,rf,23,0.572555830888162,0.0027449101475439507,-5.821272648365294e-07,0.004313135364786001
real_decel,deceleration_energy_specific,auxonly,False,lin,10,0.18973751857597632,0.09752366896496478,-8.095549682840542e-06,0.11114444056810062
real_decel,deceleration_energy_specific,auxonly,False,ridge,10,0.1894657922154911,0.09753267401989774,-8.095549682840542e-06,0.11114444056810062
real_decel,deceleration_energy_specific,auxonly,False,lasso,10,0.1881121269155941,0.09751622984273774,-8.095549682840542e-06,0.11114444056810062
real_decel,deceleration_energy_specific,auxonly,False,tree,10,0.5393205027648063,0.07165057828405759,-8.095549682840542e-06,0.11114444056810062
real_decel,deceleration_energy_specific,auxonly,False,rf,10,0.5665788776079702,0.0674306651233371,-8.095549682840542e-06,0.11114444056810062
real_decel,deceleration_energy_specific,auxonly,True,lin,11,0.6396851992939524,0.06358182954017381,-8.095549682840542e-06,0.11114444056810062
real_decel,deceleration_energy_specific,auxonly,True,ridge,11,0.6391785513946826,0.0635911869918398,-8.095549682840542e-06,0.11114444056810062
real_decel,deceleration_energy_specific,auxonly,True,lasso,11,0.6374422168614724,0.06374479791302345,-8.095549682840542e-06,0.11114444056810062
real_decel,deceleration_energy_specific,auxonly,True,tree,11,0.7474464038994916,0.052845280551697474,-8.095549682840542e-06,0.11114444056810062
real_decel,deceleration_energy_specific,auxonly,True,rf,11,0.759811572078831,0.05035511570789617,-8.095549682840542e-06,0.11114444056810062
real_decel,deceleration_energy_specific,full,False,lin,22,0.715606890566582,0.05496042508038118,-8.095549682840542e-06,0.11114444056810062
real_decel,deceleration_energy_specific,full,False,ridge,22,0.7155406306995822,0.05495783398825151,-8.095549682840542e-06,0.11114444056810062
real_decel,deceleration_energy_specific,full,False,lasso,22,0.7125859744034251,0.05504367428199986,-8.095549682840542e-06,0.11114444056810062
real_decel,deceleration_energy_specific,full,False,tree,22,0.8321025941618511,0.04103641856797126,-8.095549682840542e-06,0.11114444056810062
real_decel,deceleration_energy_specific,full,False,rf,22,0.8486876817012129,0.03756364100123271,-8.095549682840542e-06,0.11114444056810062
real_decel,deceleration_energy_specific,full,True,lin,23,0.7183175887536415,0.05470051152134224,-8.095549682840542e-06,0.11114444056810062
real_decel,deceleration_energy_specific,full,True,ridge,23,0.71823113909361,0.05469745514068436,-8.095549682840542e-06,0.11114444056810062
real_decel,deceleration_energy_specific,full,True,lasso,23,0.7154119793928908,0.05474110605443086,-8.095549682840542e-06,0.11114444056810062
real_decel,deceleration_energy_specific,full,True,tree,23,0.8341530977150439,0.04077914711518794,-8.095549682840542e-06,0.11114444056810062
real_decel,deceleration_energy_specific,full,True,rf,23,0.8497708809423854,0.03745196915818381,-8.095549682840542e-06,0.11114444056810062
all,peak_deceleration,auxonly,False,lin,10,0.1467170982306233,0.009323551783630642,-4.0179897692116384e-05,0.009670399844495645
all,peak_deceleration,auxonly,False,ridge,10,0.11536419636282602,0.009332167741959689,-4.0179897692116384e-05,0.009670399844495645
all,peak_deceleration,auxonly,False,lasso,10,0.04857892467957481,0.00938644478270166,-4.0179897692116384e-05,0.009670399844495645
all,peak_deceleration,auxonly,False,tree,10,0.22365120355792234,0.008509722227471279,-4.0179897692116384e-05,0.009670399844495645
all,peak_deceleration,auxonly,False,rf,10,0.3403933174482374,0.00796568070031928,-4.0179897692116384e-05,0.009670399844495645
all,peak_deceleration,auxonly,True,lin,11,0.23426512707796232,0.00862587770373328,-4.0179897692116384e-05,0.009670399844495645
all,peak_deceleration,auxonly,True,ridge,11,0.2019839383332075,0.008635453613695478,-4.0179897692116384e-05,0.009670399844495645
all,peak_deceleration,auxonly,True,lasso,11,0.1359050878741589,0.008663529880121968,-4.0179897692116384e-05,0.009670399844495645
all,peak_deceleration,auxonly,True,tree,11,0.28202973930345776,0.008040001027977322,-4.0179897692116384e-05,0.009670399844495645
