failure,horizon_days,n_events,total_energy,mean_energy,baseline_mean_energy
2024-06-27 15:47:30,7,2502,637.5332626321324,0.25480945748686346,0.2725100679447331
2024-06-27 15:47:30,14,6966,1835.0854586906735,0.26343460503742083,0.2725100679447331
2024-08-19 10:37:51,7,2750,652.7233668233748,0.2373539515721363,0.2725100679447331
2024-08-19 10:37:51,14,6502,1738.8505263143088,0.26743317845498443,0.2725100679447331
2024-09-03 05:04:00,7,2175,500.00090200746854,0.22988547218734184,0.2725100679447331
2024-09-03 05:04:00,14,2175,500.00090200746854,0.22988547218734184,0.2725100679447331
2024-09-22 05:49:43,7,3036,816.6724106195488,0.26899618268101083,0.2725100679447331
2024-09-22 05:49:43,14,7422,1676.19591044122,0.22584154007561572,0.2725100679447331
2024-10-06 02:04:15,7,3976,1194.1352271328014,0.3003358217134813,0.2725100679447331
2024-10-06 02:04:15,14,8135,2455.4478038169236,0.30183746820121987,0.2725100679447331
2024-10-10 11:19:48,7,2167,581.905422222053,0.2685304209607997,0.2725100679447331
2024-10-10 11:19:48,14,6459,1872.7846492730805,0.2899496283129092,0.2725100679447331
2024-12-14 18:56:40,7,4238,1301.0182888845975,0.30698874206809756,0.2725100679447331
2024-12-14 18:56:40,14,8206,2481.6754599873548,0.30242206434162255,0.2725100679447331
2025-01-21 06:11:15,7,3658,820.436712610126,0.22428559666761236,0.2725100679447331
2025-01-21 06:11:15,14,8496,1806.881791390697,0.2126744104744229,0.2725100679447331
