k,gmm_bic,gmm_aic,kmeans_silhouette,davies_bouldin,bootstrap_ari,min_cluster_frac
1,1575511.585831966,1575248.3468168755,,,,
2,627224.5447052508,626688.317081918,0.37221153674999313,1.0799033348458538,,0.4782955280895329
3,243246.03940004812,242436.82316847326,0.3086884632699744,1.1867030317321285,,0.2445344193461824
4,-550806.4345727733,-551888.6394125903,0.308623251363655,0.9460694733080527,,4.735521144101908e-05
5,-766712.7140322613,-768067.9074803204,0.3099606026591783,0.9440899450944608,,4.735521144101908e-05
6,-961042.6711751622,-962670.8532314635,0.349303515019402,0.9271570587220496,,4.735521144101908e-05
