k,gmm_bic,gmm_aic,kmeans_silhouette,davies_bouldin,bootstrap_ari,min_cluster_frac
1,940635.7087056659,940547.9671277598,,,,
2,884034.2723069488,883849.040086925,0.40595923920492316,0.9254606417080946,0.9918108893583647,0.40779405377660205
3,811851.9966440204,811569.2737818789,0.407293577993941,0.713533013061688,0.8320055134507032,3.158684407944091e-05
4,782709.4369059422,782329.2234016828,0.38983988865929337,0.7967048489729952,0.8683149688158931,3.158684407944091e-05
5,778574.5240142221,778096.8198678449,0.315222315014603,0.8985968642938158,0.9638274275065791,3.158684407944091e-05
6,767810.2722721064,767235.0774836114,0.27843497089844294,0.9725342357948614,0.6775815619392824,3.158684407944091e-05
